model,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,confusion_matrix
gradient_boosting,0.9020802334612659,0.01663993591422084,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9066666666666666,"[[207, 21], [21, 201]]"
logistic_regression,0.8961189495886497,0.019831874928932337,0.9044444444444445,0.905352343558931,0.9044444444444445,0.9043560769031688,"[[212, 16], [27, 195]]"
random_forest,0.8868495594145024,0.00819847162982303,0.8866666666666667,0.8924821674758737,0.8866666666666667,0.8863486407435454,"[[189, 39], [12, 210]]"
decision_tree,0.8793725373629224,0.016040651550143697,0.8977777777777778,0.9002359317710824,0.8977777777777778,0.8975590816346743,"[[214, 14], [32, 190]]"
