feature,coefficient,abs_coefficient
n_newline_tokens,0.8913758366400168,0.8913758366400168
n_names_total,-0.8476786119683113,0.8476786119683113
avg_leading_spaces,-0.82393804625235,0.82393804625235
n_functions,-0.8064303552965114,0.8064303552965114
n_indent_tokens,0.6374241886791907,0.6374241886791907
n_tokens,0.590361706523184,0.590361706523184
n_unique_var_names,-0.43159548506289186,0.43159548506289186
n_paren_open,0.3681695051444773,0.3681695051444773
n_paren_close,0.3681695051444773,0.3681695051444773
n_bracket_close,0.3659943295591557,0.3659943295591557
n_bracket_open,0.3659943295591557,0.3659943295591557
n_lines,-0.29221978553360706,0.29221978553360706
n_assignments,-0.2504514445017433,0.2504514445017433
n_comments,-0.15155768420198323,0.15155768420198323
n_ops_chars,-0.1033801021413474,0.1033801021413474
n_tab_chars,0.08426547095790417,0.08426547095790417
has_tab_indentation,0.08426547095790417,0.08426547095790417
ast_parse_success,-0.04610147538662121,0.04610147538662121
ast_syntax_error,0.04610147538662121,0.04610147538662121
n_keywords_present,0.03831517252241228,0.03831517252241228
n_brace_open,-0.013556796052662487,0.013556796052662487
n_brace_close,-0.013556796052662487,0.013556796052662487
n_chars,-0.00584441634221933,0.00584441634221933
