model,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,confusion_matrix
logistic_regression,0.5054943509752947,0.049102953019228714,0.5555555555555556,0.5568783068783069,0.5555555555555556,0.5551163812033377,"[[13, 9], [11, 12]]"
decision_tree,0.4539663844927003,0.10741175247429686,0.5777777777777777,0.5783487044356609,0.5777777777777777,0.5777777777777777,"[[13, 9], [10, 13]]"
random_forest,0.37085913312693497,0.06739210799945199,0.6,0.6015873015873017,0.6,0.599604743083004,"[[14, 8], [10, 13]]"
